url,category_code,category_description,date_added,source,notes
https://www.fanfiction.net/,CULTR,Culture,2017-10-12,sinarproject,
https://extratorrent.cc,FILE,File-sharing,2016-08-11,sinarproject,Updated by OONI on 2017-02-14
http://thepiratebay.org,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://thepiratebay.se,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://torrentz.eu,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.betfair.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://sayakenahack.com/,HACK,Hacking Tools,2017-11-16,sinarproject.org,site verifying if users affected by Malaysian data leaks
http://www.utopia-asia.com,LGBT,LGBT,2014-04-15,citizenlab,
https://www.planetromeo.com/,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://khilafah.net,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://malaysia-chronicle.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.answering-islam.org,NEWS,News Media,2014-04-15,citizenlab,
http://steadyaku-steadyaku-husseinhamid.blogspot.my/,POLR,Political Criticism,2017-12-15,sinarproject,political 
http://www.financetwitter.com,POLR,Political Criticism,2017-04-16,sinarproject,blog on current local andinternational news blocked by MCMC
https://ht-malaysia.com/,POLR,Political Criticism,2017-10-04,sinarproject,Hizbut Tahrir Malaysia far right Islamic organization
http://www.hizb-ut-tahrir.org,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.youporn.com/,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://xhamster.com/,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.xvideos.com/,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-08-05
http://bravotube.net,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.wetplace.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.pornhub.com/,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-08-05
http://hotgaylist.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.sex.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.patheos.com,REL,Religion,2017-08-10,sinarproject,religious dialogue website reportedly blocked 
